product_id,listing_price,sale_price,discount,revenue,modified_listing_price,modified_sale_price,modified_discount,modified_revenue
AH2430,None,None,,None,,,,
G27341,76.0,38.0,0.5,1641.0,76.0,38.0,0.5,1641.0
CM0081,10.0,6.0,0.4,399.0,10.0,6.0,0.4,399.0
B44832,70.0,35.0,0.5,2204.0,70.0,35.0,0.5,2204.0
D98205,80.0,40.0,0.5,5183.0,80.0,40.0,0.5,5183.0
B75586,48.0,19.0,0.6,1555.0,48.0,19.0,0.6,1555.0
CG4051,48.0,24.0,0.5,86.0,48.0,24.0,0.5,86.0
CM0080,10.0,6.0,0.4,75.0,10.0,6.0,0.4,75.0
B75990,56.0,28.0,0.5,806.0,56.0,28.0,0.5,806.0
EE5761,66.0,40.0,0.4,2779.0,66.0,40.0,0.4,2779.0
EE4553,76.0,46.0,0.4,2954.0,76.0,46.0,0.4,2954.0
EF9315,66.0,40.0,0.4,2494.0,66.0,40.0,0.4,2494.0
F35281,60.0,30.0,0.5,5236.0,60.0,30.0,0.5,5236.0
EF9220,76.0,46.0,0.4,5088.0,76.0,46.0,0.4,5088.0
EG0000,80.0,40.0,0.5,1152.0,80.0,40.0,0.5,1152.0
B44889,60.0,30.0,0.5,3725.0,60.0,30.0,0.5,3725.0
CL7417,46.0,23.0,0.5,662.0,46.0,23.0,0.5,662.0
CL7408,40.0,20.0,0.5,288.0,40.0,20.0,0.5,288.0
B43601,33.0,16.0,0.5,1840.0,33.0,16.0,0.5,1840.0
EE8245,43.0,21.0,0.5,2592.0,43.0,21.0,0.5,2592.0
EE8042,56.0,28.0,0.5,1511.0,56.0,28.0,0.5,1511.0
CL7429,43.0,21.0,0.5,1663.0,43.0,21.0,0.5,1663.0
CL7370,38.0,23.0,0.4,533.0,38.0,23.0,0.4,533.0
EE9946,66.0,33.0,0.5,4810.0,66.0,33.0,0.5,4810.0
CK9741,38.0,19.0,0.5,2393.0,38.0,19.0,0.5,2393.0
CL7363,33.0,20.0,0.4,1639.0,33.0,20.0,0.4,1639.0
CL7372,38.0,23.0,0.4,2584.0,38.0,23.0,0.4,2584.0
CL7430,43.0,21.0,0.5,3675.0,43.0,21.0,0.5,3675.0
F34485,56.0,34.0,0.4,907.0,56.0,34.0,0.4,907.0
CL7365,33.0,20.0,0.4,1211.0,33.0,20.0,0.4,1211.0
CL7373,33.0,20.0,0.4,3063.0,33.0,20.0,0.4,3063.0
CL7364,33.0,20.0,0.4,107.0,33.0,20.0,0.4,107.0
CL7374,33.0,20.0,0.4,2387.0,33.0,20.0,0.4,2387.0
EE8167,56.0,34.0,0.4,302.0,56.0,34.0,0.4,302.0
CL7410,40.0,24.0,0.4,3670.0,40.0,24.0,0.4,3670.0
CL7401,56.0,34.0,0.4,242.0,56.0,34.0,0.4,242.0
EE8219,46.0,28.0,0.4,1738.0,46.0,28.0,0.4,1738.0
CL7402,56.0,34.0,0.4,786.0,56.0,34.0,0.4,786.0
EE9929,86.0,52.0,0.4,1857.0,86.0,52.0,0.4,1857.0
EE8221,66.0,40.0,0.4,2922.0,66.0,40.0,0.4,2922.0
EE8224,66.0,40.0,0.4,5131.0,66.0,40.0,0.4,5131.0
EE9941,66.0,40.0,0.4,2280.0,66.0,40.0,0.4,2280.0
EE8522,76.0,46.0,0.4,6893.0,76.0,46.0,0.4,6893.0
EE9932,56.0,34.0,0.4,4535.0,56.0,34.0,0.4,4535.0
EE8375,70.0,42.0,0.4,302.0,70.0,42.0,0.4,302.0
EE9798,56.0,34.0,0.4,2902.0,56.0,34.0,0.4,2902.0
EE8502,50.0,30.0,0.4,648.0,50.0,30.0,0.4,648.0
EF0450,50.0,30.0,0.4,4481.0,50.0,30.0,0.4,4481.0
CL7375,33.0,20.0,0.4,392.0,33.0,20.0,0.4,392.0
EF0446,50.0,30.0,0.4,2267.0,50.0,30.0,0.4,2267.0
EF0529,70.0,42.0,0.4,5215.0,70.0,42.0,0.4,5215.0
EE9940,66.0,40.0,0.4,2352.0,66.0,40.0,0.4,2352.0
EE4954,120.0,72.0,0.4,4535.0,120.0,72.0,0.4,4535.0
G27996,None,None,,None,,,,
CL4156,27.0,13.0,0.5,2161.0,27.0,13.0,0.5,2161.0
EE4893,80.0,48.0,0.4,4060.0,80.0,48.0,0.4,4060.0
EE9937,56.0,34.0,0.4,5683.0,56.0,34.0,0.4,5683.0
G27649,80.0,48.0,0.4,3023.0,80.0,48.0,0.4,3023.0
EE9797,56.0,34.0,0.4,2358.0,56.0,34.0,0.4,2358.0
CI9914,50.0,20.0,0.6,3528.0,50.0,20.0,0.6,3528.0
EE8252,43.0,21.0,0.5,232.0,43.0,21.0,0.5,232.0
CK9664,60.0,30.0,0.5,918.0,60.0,30.0,0.5,918.0
EE8501,50.0,30.0,0.4,4157.0,50.0,30.0,0.4,4157.0
CL7602,48.0,24.0,0.5,734.0,48.0,24.0,0.5,734.0
CL7494,46.0,23.0,0.5,1159.0,46.0,23.0,0.5,1159.0
EE7923,60.0,36.0,0.4,5701.0,60.0,36.0,0.4,5701.0
EE5566,80.0,48.0,0.4,1987.0,80.0,48.0,0.4,1987.0
CI1821,48.0,24.0,0.5,345.0,48.0,24.0,0.5,345.0
CJ0082,46.0,23.0,0.5,2648.0,46.0,23.0,0.5,2648.0
CJ8062,60.0,30.0,0.5,2807.0,60.0,30.0,0.5,2807.0
EE6038,76.0,46.0,0.4,5744.0,76.0,46.0,0.4,5744.0
CM0068,13.0,8.0,0.4,827.0,13.0,8.0,0.4,827.0
CK9830,28.0,14.0,0.5,353.0,28.0,14.0,0.5,353.0
CJ0080,46.0,23.0,0.5,83.0,46.0,23.0,0.5,83.0
EG4957,80.0,80.0,0.0,5471.0,80.0,80.0,0.0,5471.0
BD7438,80.0,40.0,0.5,6118.0,80.0,40.0,0.5,6118.0
B75579,50.0,25.0,0.5,270.0,50.0,25.0,0.5,270.0
CM0057,13.0,8.0,0.4,645.0,13.0,8.0,0.4,645.0
CL0206,15.0,7.0,0.5,121.0,15.0,7.0,0.5,121.0
CJ8058,60.0,30.0,0.5,4696.0,60.0,30.0,0.5,4696.0
BZ0086,80.0,40.0,0.5,2016.0,80.0,40.0,0.5,2016.0
CJ8117,46.0,23.0,0.5,3600.0,46.0,23.0,0.5,3600.0
CJ8073,56.0,28.0,0.5,3325.0,56.0,28.0,0.5,3325.0
CL7551,48.0,24.0,0.5,2332.0,48.0,24.0,0.5,2332.0
AC8122,80.0,40.0,0.5,4751.0,80.0,40.0,0.5,4751.0
CM8453,200.0,100.0,0.5,180.0,200.0,100.0,0.5,180.0
EE3625,160.0,80.0,0.5,13534.0,160.0,80.0,0.5,13534.0
CM0031,46.0,23.0,0.5,2028.0,46.0,23.0,0.5,2028.0
EE7697,50.0,25.0,0.5,270.0,50.0,25.0,0.5,270.0
F36159,53.0,26.0,0.5,4721.0,53.0,26.0,0.5,4721.0
F35028,20.0,10.0,0.5,1205.0,20.0,10.0,0.5,1205.0
AC7042,100.0,50.0,0.5,4409.0,100.0,50.0,0.5,4409.0
CJ8053,60.0,30.0,0.5,2267.0,60.0,30.0,0.5,2267.0
BC0836,90.0,45.0,0.5,7288.0,90.0,45.0,0.5,7288.0
F35275,66.0,33.0,0.5,5226.0,66.0,33.0,0.5,5226.0
CJ8115,46.0,23.0,0.5,1821.0,46.0,23.0,0.5,1821.0
CJ8089,50.0,25.0,0.5,3329.0,50.0,25.0,0.5,3329.0
EE6128,60.0,36.0,0.4,1231.0,60.0,36.0,0.4,1231.0
CJ8118,46.0,23.0,0.5,2235.0,46.0,23.0,0.5,2235.0
CL7328,48.0,24.0,0.5,3411.0,48.0,24.0,0.5,3411.0
CL7470,56.0,28.0,0.5,252.0,56.0,28.0,0.5,252.0
CL7541,50.0,25.0,0.5,4318.0,50.0,25.0,0.5,4318.0
CL9928,36.0,22.0,0.4,1593.0,36.0,22.0,0.4,1593.0
CM0045,16.0,10.0,0.4,138.0,16.0,10.0,0.4,138.0
CL7599,48.0,24.0,0.5,3455.0,48.0,24.0,0.5,3455.0
CM0069,13.0,8.0,0.4,308.0,13.0,8.0,0.4,308.0
CL7511,None,None,,None,,,,
CL7552,48.0,24.0,0.5,2936.0,48.0,24.0,0.5,2936.0
EE9816,66.0,33.0,0.5,178.0,66.0,33.0,0.5,178.0
CL7545,56.0,28.0,0.5,2318.0,56.0,28.0,0.5,2318.0
EE5060,90.0,54.0,0.4,4859.0,90.0,54.0,0.4,4859.0
F36718,56.0,34.0,0.4,4535.0,56.0,34.0,0.4,4535.0
CL9927,36.0,22.0,0.4,2759.0,36.0,22.0,0.4,2759.0
CL7285,43.0,21.0,0.5,1857.0,43.0,21.0,0.5,1857.0
CL7471,56.0,28.0,0.5,1814.0,56.0,28.0,0.5,1814.0
B96360,80.0,40.0,0.5,504.0,80.0,40.0,0.5,504.0
EE5778,90.0,54.0,0.4,6706.0,90.0,54.0,0.4,6706.0
EE4519,80.0,48.0,0.4,6133.0,80.0,48.0,0.4,6133.0
EE4504,80.0,48.0,0.4,5615.0,80.0,48.0,0.4,5615.0
EE4697,66.0,40.0,0.4,214.0,66.0,40.0,0.4,214.0
CM0044,16.0,10.0,0.4,1277.0,16.0,10.0,0.4,1277.0
EE6045,80.0,48.0,0.4,173.0,80.0,48.0,0.4,173.0
CG6091,100.0,50.0,0.5,7558.0,100.0,50.0,0.5,7558.0
G27834,140.0,70.0,0.5,4283.0,140.0,70.0,0.5,4283.0
CL7598,48.0,24.0,0.5,2332.0,48.0,24.0,0.5,2332.0
EE4709,76.0,46.0,0.4,4021.0,76.0,46.0,0.4,4021.0
EE4948,120.0,72.0,0.4,4535.0,120.0,72.0,0.4,4535.0
EE9671,70.0,42.0,0.4,3628.0,70.0,42.0,0.4,3628.0
EE7046,80.0,48.0,0.4,2160.0,80.0,48.0,0.4,2160.0
EF0451,50.0,35.0,0.3,3212.0,50.0,35.0,0.3,3212.0
EE4561,76.0,46.0,0.4,985.0,76.0,46.0,0.4,985.0
CL7601,48.0,24.0,0.5,2202.0,48.0,24.0,0.5,2202.0
CL7330,48.0,24.0,0.5,1339.0,48.0,24.0,0.5,1339.0
CM6625,25.0,17.0,0.3,1291.0,25.0,17.0,0.3,1291.0
FV3395,76.0,53.0,0.3,479.0,76.0,53.0,0.3,479.0
EF9317,66.0,40.0,0.4,5558.0,66.0,40.0,0.4,5558.0
EF4954,80.0,56.0,0.3,9675.0,80.0,56.0,0.3,9675.0
EE7104,76.0,46.0,0.4,2134.0,76.0,46.0,0.4,2134.0
FV4070,80.0,56.0,0.3,5341.0,80.0,56.0,0.3,5341.0
FV3918,90.0,63.0,0.3,8844.0,90.0,63.0,0.3,8844.0
EE5055,50.0,30.0,0.4,4858.0,50.0,30.0,0.4,4858.0
CM6626,25.0,17.0,0.3,3022.0,25.0,17.0,0.3,3022.0
CQ2030,160.0,80.0,0.5,11807.0,160.0,80.0,0.5,11807.0
EE5292,76.0,46.0,0.4,5662.0,76.0,46.0,0.4,5662.0
BD8041,76.0,38.0,0.5,1436.0,76.0,38.0,0.5,1436.0
B37719,76.0,46.0,0.4,7221.0,76.0,46.0,0.4,7221.0
EE4505,80.0,48.0,0.4,2764.0,80.0,48.0,0.4,2764.0
CM0072,10.0,5.0,0.5,180.0,10.0,5.0,0.5,180.0
EF0795,66.0,40.0,0.4,3136.0,66.0,40.0,0.4,3136.0
EE5875,66.0,40.0,0.4,4917.0,66.0,40.0,0.4,4917.0
