product_id,rating,reviews,Hour,minute,real_rating,real_reviews,Unnamed: 7
AH2430,None,None,0.0,0.0,,0.0,
G27341,03:03:00,1900-01-01 00:00:00,3.0,3.0,"3,3",24.0,
CM0081,02:06:00,1900-01-01 13:00:00,2.0,6.0,"2,6",37.0,
B44832,04:01:00,1900-01-01 11:00:00,4.0,1.0,"4,1",35.0,
D98205,03:05:00,1900-01-03 00:00:00,3.0,5.0,"3,5",72.0,
B75586,01:00:00,1900-01-01 21:00:00,1.0,0.0,"1,0",45.0,
CG4051,04:04:00,02:00:00,4.0,4.0,"4,4",2.0,
CM0080,02:08:00,07:00:00,2.0,8.0,"2,8",7.0,
B75990,04:05:00,16:00:00,4.0,5.0,"4,5",16.0,
EE5761,04:00:00,1900-01-01 15:00:00,4.0,0.0,"4,0",39.0,
EE4553,02:07:00,1900-01-01 12:00:00,2.0,7.0,"2,7",36.0,
EF9315,04:02:00,1900-01-01 11:00:00,4.0,2.0,"4,2",35.0,
F35281,02:06:00,1900-01-04 01:00:00,2.0,6.0,"2,6",97.0,
EF9220,03:01:00,1900-01-02 14:00:00,3.0,1.0,"3,1",62.0,
EG0000,03:02:00,16:00:00,3.0,2.0,"3,2",16.0,
B44889,03:01:00,1900-01-02 21:00:00,3.0,1.0,"3,1",69.0,
CL7417,01:00:00,16:00:00,1.0,0.0,"1,0",16.0,
CL7408,03:01:00,08:00:00,3.0,1.0,"3,1",8.0,
B43601,02:07:00,1900-01-02 14:00:00,2.0,7.0,"2,7",62.0,
EE8245,03:08:00,1900-01-02 19:00:00,3.0,8.0,"3,8",67.0,
EE8042,05:00:00,1900-01-01 06:00:00,5.0,0.0,"5,0",30.0,
CL7429,03:07:00,1900-01-01 19:00:00,3.0,7.0,"3,7",43.0,
CL7370,03:09:00,13:00:00,3.0,9.0,"3,9",13.0,
EE9946,04:04:00,1900-01-03 09:00:00,4.0,4.0,"4,4",81.0,
CK9741,03:06:00,1900-01-02 22:00:00,3.0,6.0,"3,6",70.0,
CL7363,02:07:00,1900-01-01 22:00:00,2.0,7.0,"2,7",46.0,
CL7372,03:02:00,1900-01-02 15:00:00,3.0,2.0,"3,2",63.0,
CL7430,04:09:00,1900-01-03 23:00:00,4.0,9.0,"4,9",95.0,
F34485,05:00:00,15:00:00,5.0,0.0,"5,0",15.0,
CL7365,03:06:00,1900-01-01 10:00:00,3.0,6.0,"3,6",34.0,
CL7373,02:02:00,1900-01-03 14:00:00,2.0,2.0,"2,2",86.0,
CL7364,03:09:00,03:00:00,3.0,9.0,"3,9",3.0,
CL7374,03:04:00,1900-01-02 19:00:00,3.0,4.0,"3,4",67.0,
EE8167,03:03:00,05:00:00,3.0,3.0,"3,3",5.0,
CL7410,04:08:00,1900-01-03 13:00:00,4.0,8.0,"4,8",85.0,
CL7401,03:06:00,04:00:00,3.0,6.0,"3,6",4.0,
EE8219,04:01:00,1900-01-01 11:00:00,4.0,1.0,"4,1",35.0,
CL7402,03:06:00,13:00:00,3.0,6.0,"3,6",13.0,
EE9929,02:05:00,20:00:00,2.0,5.0,"2,5",20.0,
EE8221,02:07:00,1900-01-01 17:00:00,2.0,7.0,"2,7",41.0,
EE8224,02:05:00,1900-01-03 00:00:00,2.0,5.0,"2,5",72.0,
EE9941,01:05:00,1900-01-01 08:00:00,1.0,5.0,"1,5",32.0,
EE8522,02:06:00,1900-01-03 12:00:00,2.0,6.0,"2,6",84.0,
EE9932,05:00:00,1900-01-03 03:00:00,5.0,0.0,"5,0",75.0,
EE8375,04:05:00,04:00:00,4.0,5.0,"4,5",4.0,
EE9798,03:09:00,1900-01-02 00:00:00,3.0,9.0,"3,9",48.0,
EE8502,03:02:00,12:00:00,3.0,2.0,"3,2",12.0,
EF0450,03:09:00,1900-01-03 11:00:00,3.0,9.0,"3,9",83.0,
CL7375,02:00:00,11:00:00,2.0,0.0,"2,0",11.0,
EF0446,01:00:00,1900-01-01 18:00:00,1.0,0.0,"1,0",42.0,
EF0529,03:03:00,1900-01-02 21:00:00,3.0,3.0,"3,3",69.0,
EE9940,04:01:00,1900-01-01 09:00:00,4.0,1.0,"4,1",33.0,
EE4954,04:04:00,1900-01-01 11:00:00,4.0,4.0,"4,4",35.0,
G27996,None,None,0.0,0.0,,0.0,
CL4156,03:05:00,1900-01-03 17:00:00,3.0,5.0,"3,5",89.0,
EE4893,04:00:00,1900-01-01 23:00:00,4.0,0.0,"4,0",47.0,
EE9937,04:08:00,1900-01-03 22:00:00,4.0,8.0,"4,8",94.0,
G27649,04:05:00,1900-01-01 11:00:00,4.0,5.0,"4,5",35.0,
EE9797,04:07:00,1900-01-01 15:00:00,4.0,7.0,"4,7",39.0,
CI9914,03:08:00,1900-01-04 02:00:00,3.0,8.0,"3,8",98.0,
EE8252,01:05:00,06:00:00,1.0,5.0,"1,5",6.0,
CK9664,00:00:00,17:00:00,0.0,0.0,"0,0",17.0,
EE8501,04:08:00,1900-01-03 05:00:00,4.0,8.0,"4,8",77.0,
CL7602,04:04:00,17:00:00,4.0,4.0,"4,4",17.0,
CL7494,03:00:00,1900-01-01 04:00:00,3.0,0.0,"3,0",28.0,
EE7923,03:09:00,1900-01-03 16:00:00,3.0,9.0,"3,9",88.0,
EE5566,04:00:00,23:00:00,4.0,0.0,"4,0",23.0,
CI1821,04:03:00,08:00:00,4.0,3.0,"4,3",8.0,
CJ0082,04:03:00,1900-01-02 16:00:00,4.0,3.0,"4,3",64.0,
CJ8062,03:07:00,1900-01-02 04:00:00,3.0,7.0,"3,7",52.0,
EE6038,04:03:00,1900-01-02 22:00:00,4.0,3.0,"4,3",70.0,
CM0068,01:05:00,1900-01-02 11:00:00,1.0,5.0,"1,5",59.0,
CK9830,02:08:00,14:00:00,2.0,8.0,"2,8",14.0,
CJ0080,05:00:00,02:00:00,5.0,0.0,"5,0",2.0,
EG4957,04:09:00,1900-01-01 14:00:00,4.0,9.0,"4,9",38.0,
BD7438,04:00:00,1900-01-03 13:00:00,4.0,0.0,"4,0",85.0,
B75579,04:03:00,06:00:00,4.0,3.0,"4,3",6.0,
CM0057,02:02:00,1900-01-01 22:00:00,2.0,2.0,"2,2",46.0,
CL0206,03:07:00,09:00:00,3.0,7.0,"3,7",9.0,
CJ8058,02:07:00,1900-01-03 15:00:00,2.0,7.0,"2,7",87.0,
BZ0086,02:00:00,1900-01-01 04:00:00,2.0,0.0,"2,0",28.0,
CJ8117,04:00:00,1900-01-03 15:00:00,4.0,0.0,"4,0",87.0,
CJ8073,02:05:00,1900-01-02 18:00:00,2.0,5.0,"2,5",66.0,
CL7551,05:00:00,1900-01-02 06:00:00,5.0,0.0,"5,0",54.0,
AC8122,04:02:00,1900-01-02 18:00:00,4.0,2.0,"4,2",66.0,
CM8453,03:05:00,01:00:00,3.0,5.0,"3,5",1.0,
EE3625,00:00:00,1900-01-03 22:00:00,0.0,0.0,"0,0",94.0,
CM0031,00:00:00,1900-01-02 01:00:00,0.0,0.0,"0,0",49.0,
EE7697,03:05:00,06:00:00,3.0,5.0,"3,5",6.0,
F36159,02:04:00,1900-01-04 03:00:00,2.0,4.0,"2,4",99.0,
F35028,00:00:00,1900-01-02 19:00:00,0.0,0.0,"0,0",67.0,
AC7042,03:01:00,1900-01-02 01:00:00,3.0,1.0,"3,1",49.0,
CJ8053,04:04:00,1900-01-01 18:00:00,4.0,4.0,"4,4",42.0,
BC0836,03:04:00,1900-01-03 18:00:00,3.0,4.0,"3,4",90.0,
F35275,03:08:00,1900-01-03 16:00:00,3.0,8.0,"3,8",88.0,
CJ8115,03:00:00,1900-01-01 20:00:00,3.0,0.0,"3,0",44.0,
CJ8089,03:05:00,1900-01-03 02:00:00,3.0,5.0,"3,5",74.0,
EE6128,04:03:00,19:00:00,4.0,3.0,"4,3",19.0,
CJ8118,02:02:00,1900-01-02 06:00:00,2.0,2.0,"2,2",54.0,
CL7328,03:05:00,1900-01-03 07:00:00,3.0,5.0,"3,5",79.0,
CL7470,04:00:00,05:00:00,4.0,0.0,"4,0",5.0,
CL7541,03:08:00,1900-01-04 00:00:00,3.0,8.0,"3,8",96.0,
CL9928,02:04:00,1900-01-01 17:00:00,2.0,4.0,"2,4",41.0,
CM0045,03:08:00,08:00:00,3.0,8.0,"3,8",8.0,
CL7599,04:03:00,1900-01-03 08:00:00,4.0,3.0,"4,3",80.0,
CM0069,03:00:00,22:00:00,3.0,0.0,"3,0",22.0,
CL7511,None,None,0.0,0.0,,0.0,
CL7552,04:08:00,1900-01-02 20:00:00,4.0,8.0,"4,8",68.0,
EE9816,04:04:00,03:00:00,4.0,4.0,"4,4",3.0,
CL7545,03:04:00,1900-01-01 22:00:00,3.0,4.0,"3,4",46.0,
EE5060,03:05:00,1900-01-02 02:00:00,3.0,5.0,"3,5",50.0,
F36718,03:00:00,1900-01-03 03:00:00,3.0,0.0,"3,0",75.0,
CL9927,04:03:00,1900-01-02 23:00:00,4.0,3.0,"4,3",71.0,
CL7285,01:00:00,1900-01-02 00:00:00,1.0,0.0,"1,0",48.0,
CL7471,03:08:00,1900-01-01 12:00:00,3.0,8.0,"3,8",36.0,
B96360,04:05:00,07:00:00,4.0,5.0,"4,5",7.0,
EE5778,02:06:00,1900-01-02 21:00:00,2.0,6.0,"2,6",69.0,
EE4519,04:04:00,1900-01-02 23:00:00,4.0,4.0,"4,4",71.0,
EE4504,02:00:00,1900-01-02 17:00:00,2.0,0.0,"2,0",65.0,
EE4697,03:08:00,03:00:00,3.0,8.0,"3,8",3.0,
CM0044,04:07:00,1900-01-03 02:00:00,4.0,7.0,"4,7",74.0,
EE6045,02:00:00,02:00:00,2.0,0.0,"2,0",2.0,
CG6091,03:07:00,1900-01-03 12:00:00,3.0,7.0,"3,7",84.0,
G27834,03:06:00,1900-01-01 10:00:00,3.0,6.0,"3,6",34.0,
CL7598,03:09:00,1900-01-02 06:00:00,3.0,9.0,"3,9",54.0,
EE4709,02:08:00,1900-01-02 01:00:00,2.0,8.0,"2,8",49.0,
EE4948,04:09:00,1900-01-01 11:00:00,4.0,9.0,"4,9",35.0,
EE9671,02:04:00,1900-01-02 00:00:00,2.0,4.0,"2,4",48.0,
EE7046,04:08:00,1900-01-01 01:00:00,4.0,8.0,"4,8",25.0,
EF0451,04:06:00,1900-01-02 03:00:00,4.0,6.0,"4,6",51.0,
EE4561,03:09:00,12:00:00,3.0,9.0,"3,9",12.0,
CL7601,03:07:00,1900-01-02 03:00:00,3.0,7.0,"3,7",51.0,
CL7330,03:08:00,1900-01-01 07:00:00,3.0,8.0,"3,8",31.0,
CM6625,04:08:00,1900-01-01 17:00:00,4.0,8.0,"4,8",41.0,
FV3395,04:02:00,05:00:00,4.0,2.0,"4,2",5.0,
EF9317,03:07:00,1900-01-03 06:00:00,3.0,7.0,"3,7",78.0,
EF4954,02:02:00,1900-01-04 00:00:00,2.0,2.0,"2,2",96.0,
EE7104,03:09:00,1900-01-01 02:00:00,3.0,9.0,"3,9",26.0,
FV4070,03:03:00,1900-01-02 05:00:00,3.0,3.0,"3,3",53.0,
FV3918,04:03:00,1900-01-03 06:00:00,4.0,3.0,"4,3",78.0,
EE5055,02:00:00,1900-01-03 18:00:00,2.0,0.0,"2,0",90.0,
CM6626,04:08:00,1900-01-04 00:00:00,4.0,8.0,"4,8",96.0,
CQ2030,04:07:00,1900-01-03 10:00:00,4.0,7.0,"4,7",82.0,
EE5292,03:06:00,1900-01-02 21:00:00,3.0,6.0,"3,6",69.0,
BD8041,02:08:00,21:00:00,2.0,8.0,"2,8",21.0,
B37719,02:07:00,1900-01-03 16:00:00,2.0,7.0,"2,7",88.0,
EE4505,03:07:00,1900-01-01 08:00:00,3.0,7.0,"3,7",32.0,
CM0072,03:02:00,20:00:00,3.0,2.0,"3,2",20.0,
EF0795,02:09:00,1900-01-01 20:00:00,2.0,9.0,"2,9",44.0,
EE5875,01:05:00,1900-01-02 21:00:00,1.0,5.0,"1,5",69.0,
EE4947,04:03:00,1900-01-02 18:00:00,4.0,3.0,"4,3",66.0,
CM6627,03:04:00,1900-01-02 17:00:00,3.0,4.0,"3,4",65.0,
CQ2039,05:00:00,1900-01-02 08:00:00,5.0,0.0,"5,0",56.0,
CG6193,01:00:00,15:00:00,1.0,0.0,"1,0",15.0,
S82260,03:05:00,1900-01-02 03:00:00,3.0,5.0,"3,5",51.0,
EE4945,03:04:00,1900-01-03 12:00:00,3.0,4.0,"3,4",84.0,
EE7155,01:00:00,1900-01-02 09:00:00,1.0,0.0,"1,0",57.0,
B44846,03:02:00,1900-01-01 19:00:00,3.0,2.0,"3,2",43.0,
EE6044,04:00:00,1900-01-03 11:00:00,4.0,0.0,"4,0",83.0,
EH0192,None,None,0.0,0.0,,0.0,
EE7045,02:05:00,1900-01-02 14:00:00,2.0,5.0,"2,5",62.0,
CL7646,02:08:00,1900-01-02 01:00:00,2.0,8.0,"2,8",49.0,
CL7346,02:07:00,1900-01-01 13:00:00,2.0,7.0,"2,7",37.0,
EE5777,02:08:00,1900-01-01 14:00:00,2.0,8.0,"2,8",38.0,
AQ1210,02:09:00,1900-01-03 16:00:00,2.0,9.0,"2,9",88.0,
EF5925,04:03:00,1900-01-04 02:00:00,4.0,3.0,"4,3",98.0,
EE7032,03:06:00,1900-01-03 21:00:00,3.0,6.0,"3,6",93.0,
EE7708,04:01:00,18:00:00,4.0,1.0,"4,1",18.0,
AQ1119,03:07:00,23:00:00,3.0,7.0,"3,7",23.0,
F34311,03:06:00,1900-01-02 11:00:00,3.0,6.0,"3,6",59.0,
CL7645,04:06:00,1900-01-03 18:00:00,4.0,6.0,"4,6",90.0,
EE5089,03:07:00,1900-01-01 13:00:00,3.0,7.0,"3,7",37.0,
CL7565,03:00:00,1900-01-01 23:00:00,3.0,0.0,"3,0",47.0,
G27727,04:06:00,1900-01-01 22:00:00,4.0,6.0,"4,6",46.0,
B44697,00:00:00,1900-01-03 13:00:00,0.0,0.0,"0,0",85.0,
CL7400,04:01:00,1900-01-02 20:00:00,4.0,1.0,"4,1",68.0,
CL7437,04:04:00,1900-01-03 02:00:00,4.0,4.0,"4,4",74.0,
CL7563,03:07:00,01:00:00,3.0,7.0,"3,7",1.0,
CL7460,02:00:00,1900-01-02 00:00:00,2.0,0.0,"2,0",48.0,
CL7507,04:08:00,00:00:00,4.0,8.0,"4,8",0.0,
CM0061,02:07:00,14:00:00,2.0,7.0,"2,7",14.0,
F34308,04:00:00,1900-01-02 21:00:00,4.0,0.0,"4,0",69.0,
CL7506,04:07:00,1900-01-03 11:00:00,4.0,7.0,"4,7",83.0,
CL7344,02:00:00,1900-01-03 14:00:00,2.0,0.0,"2,0",86.0,
EE5318,03:05:00,1900-01-03 18:00:00,3.0,5.0,"3,5",90.0,
CL7564,04:06:00,1900-01-02 10:00:00,4.0,6.0,"4,6",58.0,
CL7439,04:08:00,1900-01-03 01:00:00,4.0,8.0,"4,8",73.0,
CL7345,02:08:00,11:00:00,2.0,8.0,"2,8",11.0,
CL7644,04:06:00,1900-01-01 08:00:00,4.0,6.0,"4,6",32.0,
CL7438,02:07:00,1900-01-03 06:00:00,2.0,7.0,"2,7",78.0,
CK9843,01:05:00,1900-01-01 23:00:00,1.0,5.0,"1,5",47.0,
EE8738,04:04:00,1900-01-03 09:00:00,4.0,4.0,"4,4",81.0,
CL7576,04:00:00,15:00:00,4.0,0.0,"4,0",15.0,
CL7482,04:02:00,1900-01-04 02:00:00,4.0,2.0,"4,2",98.0,
EE6129,04:00:00,01:00:00,4.0,0.0,"4,0",1.0,
EG3290,02:09:00,1900-01-02 03:00:00,2.0,9.0,"2,9",51.0,
CL7467,04:07:00,1900-01-02 09:00:00,4.0,7.0,"4,7",57.0,
EF1426,03:02:00,1900-01-02 02:00:00,3.0,2.0,"3,2",50.0,
CL7264,02:07:00,1900-01-03 08:00:00,2.0,7.0,"2,7",80.0,
CL7472,04:05:00,1900-01-03 03:00:00,4.0,5.0,"4,5",75.0,
CL7560,03:08:00,1900-01-03 18:00:00,3.0,8.0,"3,8",90.0,
EE4574,04:00:00,1900-01-02 20:00:00,4.0,0.0,"4,0",68.0,
CL7445,04:06:00,15:00:00,4.0,6.0,"4,6",15.0,
CL7404,03:08:00,1900-01-02 16:00:00,3.0,8.0,"3,8",64.0,
CL7515,03:03:00,1900-01-03 07:00:00,3.0,3.0,"3,3",79.0,
EE4763,04:01:00,1900-01-02 22:00:00,4.0,1.0,"4,1",70.0,
CL7616,01:00:00,1900-01-02 20:00:00,1.0,0.0,"1,0",68.0,
CL7591,04:04:00,23:00:00,4.0,4.0,"4,4",23.0,
CK9831,03:03:00,1900-01-02 22:00:00,3.0,3.0,"3,3",70.0,
EF2508,04:09:00,1900-01-01 18:00:00,4.0,9.0,"4,9",42.0,
CL7495,03:08:00,1900-01-03 05:00:00,3.0,8.0,"3,8",77.0,
EE5592,04:01:00,1900-01-02 04:00:00,4.0,1.0,"4,1",52.0,
EE5398,None,None,0.0,0.0,,0.0,
EE5304,04:05:00,1900-01-01 05:00:00,4.0,5.0,"4,5",29.0,
EE7242,04:05:00,1900-01-03 21:00:00,4.0,5.0,"4,5",93.0,
CM0064,02:06:00,1900-01-01 00:00:00,2.0,6.0,"2,6",24.0,
EE7885,02:02:00,01:00:00,2.0,2.0,"2,2",1.0,
CM0049,02:04:00,1900-01-03 11:00:00,2.0,4.0,"2,4",83.0,
CL7548,03:09:00,1900-01-02 20:00:00,3.0,9.0,"3,9",68.0,
CK1088,03:05:00,1900-01-03 01:00:00,3.0,5.0,"3,5",73.0,
CL7263,03:06:00,1900-01-02 02:00:00,3.0,6.0,"3,6",50.0,
CL7483,05:00:00,1900-01-02 13:00:00,5.0,0.0,"5,0",61.0,
F34340,02:02:00,1900-01-01 11:00:00,2.0,2.0,"2,2",35.0,
CL7590,04:04:00,1900-01-04 02:00:00,4.0,4.0,"4,4",98.0,
CM0030,04:00:00,1900-01-02 01:00:00,4.0,0.0,"4,0",49.0,
CL7468,01:05:00,1900-01-02 02:00:00,1.0,5.0,"1,5",50.0,
EE8076,02:09:00,1900-01-02 04:00:00,2.0,9.0,"2,9",52.0,
CM5955,03:04:00,1900-01-03 19:00:00,3.0,4.0,"3,4",91.0,
B44870,04:07:00,1900-01-02 03:00:00,4.0,7.0,"4,7",51.0,
CL7265,02:05:00,1900-01-03 09:00:00,2.0,5.0,"2,5",81.0,
CL7484,03:07:00,1900-01-02 00:00:00,3.0,7.0,"3,7",48.0,
CL7537,03:06:00,1900-01-04 02:00:00,3.0,6.0,"3,6",98.0,
EE8088,04:02:00,09:00:00,4.0,2.0,"4,2",9.0,
CL7577,01:05:00,1900-01-01 11:00:00,1.0,5.0,"1,5",35.0,
CM0058,04:03:00,1900-01-03 06:00:00,4.0,3.0,"4,3",78.0,
EE7698,01:00:00,1900-01-03 18:00:00,1.0,0.0,"1,0",90.0,
CM0009,04:08:00,15:00:00,4.0,8.0,"4,8",15.0,
EE7884,02:05:00,02:00:00,2.0,5.0,"2,5",2.0,
F36922,02:07:00,1900-01-03 06:00:00,2.0,7.0,"2,7",78.0,
DB3114,01:05:00,1900-01-01 23:00:00,1.0,5.0,"1,5",47.0,
F36217,04:07:00,1900-01-01 00:00:00,4.0,7.0,"4,7",24.0,
EE8272,04:06:00,1900-01-01 11:00:00,4.0,6.0,"4,6",35.0,
CL7538,03:01:00,1900-01-03 01:00:00,3.0,1.0,"3,1",73.0,
EF0695,03:08:00,1900-01-01 19:00:00,3.0,8.0,"3,8",43.0,
DB3599,04:04:00,1900-01-01 11:00:00,4.0,4.0,"4,4",35.0,
CL7321,04:07:00,1900-01-02 05:00:00,4.0,7.0,"4,7",53.0,
DB2117,04:09:00,1900-01-03 11:00:00,4.0,9.0,"4,9",83.0,
EE4698,02:08:00,1900-01-01 21:00:00,2.0,8.0,"2,8",45.0,
B28166,04:03:00,1900-01-02 18:00:00,4.0,3.0,"4,3",66.0,
DB3259,04:09:00,1900-01-03 03:00:00,4.0,9.0,"4,9",75.0,
EE5534,02:00:00,1900-01-03 22:00:00,2.0,0.0,"2,0",94.0,
EF0811,03:03:00,06:00:00,3.0,3.0,"3,3",6.0,
CK9723,01:00:00,1900-01-02 17:00:00,1.0,0.0,"1,0",65.0,
CL7322,04:05:00,1900-01-01 12:00:00,4.0,5.0,"4,5",36.0,
